original,corrected
میشناسید,می شناسید
داراییهای,دارایی های
میسوختم,می سوختم
میانسالها,میانسال ها
میمیریم,می میریم
میفهمیم,می فهمیم
نکتهی,نکته ی
مقالهی,مقاله ی
بلندقامت,بلند قامت
اسبهای,اسب های
غوطهور,غوطه ور
رویهم,روی هم
میآموختند,می آموختند
افرادشان,افراد شان
قویتر,قوی تر
وعدهی,وعده ی
رابطهها,رابطه ها
نمیآوریدش,نمی آوریدش
میدادیم,می دادیم
لغزشهای,لغزش های
میبرند,می برند
شمارهی,شماره ی
راگرفت,را گرفت
ایالتهای,ایالت های
مسئلهی,مسئله ی
نخواهد_کرد,نخواهد کرد
ترسناکتر,ترسناک تر
آبمروارید,آب مروارید
میمیره,می میره
جرمخیز,جرم خیز
پرخطر,پر خطر
بيشتر,بيش تر
باشم٬الکی,باشم الکی
خواهید_شما,خواهید شما
بدنشان,بد نشان
مونده_بودیم,مونده بودیم
یادبودهای,یادبود های
چیده_بود,چیده بود
گوشیهای,گوشی های
منحصربه,منحصر به
میبینند,می بینند
رگههای,رگه های
میخواندند,می خواندند
میگرفتن,می گرفتن
مزرعهی,مزرعه ی
میتوانی,می توانی
آدمها,آدم ها
مییابد,می یابد
واحدهای,واحد های
بوده_ایم,بوده ایم
جنوبیترین,جنوبی ترین
سیستمعاملهای,سیستم عامل های
حبابها,حباب ها
توسعهدهندگان,توسعه دهندگان
گذاشتهاند,گذاشته اند
واژهها,واژه ها
جملههاست,جمله هاست
سیاهکاران,سیاه کاران
نوشیده_اید,نوشیده اید
همهشون,همه شون
آویخته_خواهیم_شد,آویخته خواهیم شد
میخواهی,می خواهی
جوکهای,جوک های
نمیگذاشت,نمی گذاشت
جوانتر,جوان تر
سختیها,سختی ها
سرفههای,سرفه های
میگفتم,می گفتم
آماده_خواهند_شد,آماده خواهند شد
شناخته_شد,شناخته شد
پارچهی,پارچه ی
پولها,پول ها
پیببرد,پی ببرد
فرودگاهها,فرودگاه ها
ماهوارهها,ماهواره ها
زندگیمان,زندگی مان
دادهایم,داده ایم
تمیزشون,تمیز شون
هرچند,هر چند
خواهیم_ماند,خواهیم ماند
شبها,شب ها
آسانتر,آسان تر
سالمتر,سالم تر
اگرچه,اگر چه
موفقیتشان,موفقیت شان
جدیداست,جدید است
بزرگتری,بزرگ تری
قرمهسبزی,قرمه سبزی
هرکس,هر کس
برمیخوره,بر میخوره
کرده_ام,کرده ام
اذیتوآزار,اذیت و آزار
تکاندهندهای,تکان دهنده ای
گفته_بودی,گفته بودی
متنوعتر,متنوع تر
جامعتر,جامع تر
مردها,مرد ها
خواهم_اتاقم,خواهم اتاقم
میبینیم,می بینیم
میشنویم,می شنویم
کلیدهایم,کلید هایم
گذاشته_ام,گذاشته ام
میگذاریم,می گذاریم
میخورم,می خورم
سفرهای,سفر های
مسگرها,مسگر ها
هلههوله,هله هوله
قیافهای,قیافه ای
میندازید,می ندازید
نمیتونن,نمی تونن
نمیدانستم,نمی دانستم
چهارتاس,چهار تاس
تااین,تا این
خواهم_سیب,خواهم سیب
بهقدری,به قدری
دانشگاههای,دانشگاه های
امیدها,امید ها
آرزوهایشان,آرزو هایشان
جوامعشان,جوامع شان
آگهیها,آگهی ها
مالیاتهای,مالیات های
نیرومندی,نیرو مندی
جداشدن,جدا شدن
خریده_بود,خریده بود
میگید,می گید
ایدهاش,ایده اش
خواهند_کرد,خواهند کرد
رسیده_ای,رسیده ای
معاملهی,معامله ی
دزدیده_شده_است,دزدیده شده است
میگیریم,می گیریم
مىرود,مي رود
میتوانستم,می توانستم
خطهای,خط های
نکشیده_بود,نکشیده بود
پورتر,پور تر
میساختند,می ساختند
گنسگترهای,گنسگتر های
حرامزادههای,حرامزاده های
مینامد,می نامد
عکسهای,عکس های
میپرسم,می پرسم
نعمتهای,نعمت های
همسایهها,همسایه ها
عرضهی,عرضه ی
میرفتی,میرفتی
گرفته_بودم,گرفته بودم
نمیخای,نمی خوای
منحصربهفردترین,منحصر به فرد ترین
کشورهاست,کشور هاست
دوجین,دو جین
پریودها,پریود ها
بازگردیم,باز گردیم
روزنهی,روزنه ی
هردوتاشون,هر دو تاشون
کردهام,کرده ام
آئینها,آئین ها
دانشسرای,دانش سرای
خواهم_داد,خواهم داد
صرفهجویی,صرفه جویی
ویژگیهای,ویژگی های
میگردیم,می گردیم
میگذرونیم,می گذرونیم
بشنومشان,بشنوم شان
چرخهای,چرخ های
نکرده_بودم,نکرده بودم
اطلاعرسانی,اطلاع رسانی
برعهده,بر عهده
برحریفش,بر حریفش
هممدرسهای,هم مدرس های
پیکنیکهای,پیکنیک های
گونههایش,گونه هایش
ایستاده_است,ایستاده است
جمعیتترین,جمعیت ترین
شبهجزیره,شبه جزیره
بازها,باز ها
دردهای,درد های
لباسهایم,لباس هایم
خانهاش,خانه اش
میکروبها,میکروب ها
خوبیهایی,خوبی هایی
نویسندهها,نویسنده ها
میزنند,می زنند
کتابها,کتاب ها
سحرآمیز,سحر آمیز
آسانیها,آسانی ها
قدرتمندی,قدرت مندی
مثالهایی,مثال هایی
نمیخام,نمی خوام
تشکها,تشک ها
میچرخونمشون,می چرخونمشون
شاهزادهای,شاهزاده ای
مفقودالاثرهای,مفقودالاثر های
ساخته_شود,ساخته شود
نوشتهی,نوشته ی
مورداستفاده,مورد استفاده
نیازمندیها,نیاز مندی ها
رسیدهمسرش,رسید همسرش
میندازین,می ندازین
برگردونم,بر گردونم
چندماه,چند ماه
اندیشهای,اندیشه ای
ترجمهی,ترجمه ی
استانسرایی,استان سرایی
ترسهای,ترس های
صداها,صدا ها
میكنید,می كنید
نهادهای,نهاد های
میپردازد,می پردازد
ایستگاههای,ایستگاه های
میخورید,می خورید
میبرید,می برید
گنده_بود,گنده بود
وحشتناکترین,وحشتناک ترین
گرفته_اید,گرفته اید
دورتر,دور تر
ميدونستم,مي دونستم
نداشته_باشیم,نداشته باشیم
میفرمایند,می فرمایند
بدگويی,بد گويی
احمقها,احمق ها
جملههای,جمله های
میکوبم,می کوبم
پنجرهها,پنجره ها
رشوهخواری,رشوه خواری
نشانهی,نشانه ی
نابرابریهای,نابرابری های
نیمکرهی,نیمکره ی
آسمانخراشها,آسمان خراش ها
آماده_شود,آماده شود
بازدارندهی,بازدارنده ی
روسهای,روس های
محاورهای,محاوره ای
میخواهد,می خواهد
تختهای,تخت های
سوراخهای,سوراخ های
ناتمام,نا تمام
ترجیحدادن,ترجیح دادن
ریهها,ریه ها
مدتها,مدت ها
میبخشید,می بخشید
گوركنها,گوركن ها
ناتوانند,نا توانند
صخرهها,صخره ها
میسازند,می سازند
تخممرغهایش,تخم مرغ هایش
جامعهی,جامعه ی
درکدام,در کدام
جاها,جا ها
نمیبینی,نمی بینی
شگفتزده,شگفت زده
هنرمندم,هنر مندم
خواهید_کرد,خواهید کرد
آهنگهای,آهنگ های
زخمیها,زخمی ها
بدبینی,بد بینی
گرفتهاند,گرفته اند
غیراختصاصی,غیر اختصاصی
نمیآمد,نمی آمد
پسرها,پسر ها
میپرسیدند,می پرسیدند
وابستهها,وابسته ها
مجوزها,مجوز ها
جانشینانهای,جانشینان های
شركتها,شركت ها
میكنن,می كنن
نمیدانید,نمی دانید
گواهینامهی,گواهینامه ی
میکردید,می کردید
رویدادهای,رویداد های
قدرتمندان,قدرت مندان
شورایاریها,شورا یاری ها
ازدستش,از دستش
چندتامثال,چند تا مثال
میکنن-,می کنن
نخواهند_بود,نخواهند بود
تولیدشده,تولید شده
امتیازاورترین,امتیازاور ترین
هرکاری,هر کاری
میخاستی,می خواستی
ازتنهایی,از تنهایی
نمیارزه,نمی ارزه
خانهام,خانه ام
نوهام,نوه ام
جهیزیهش,جهیزیه ش
خواهند_آمد,خواهند آمد
عوضیها,عوضی ها
همهگیری,همه گیری
گردهماییها,گردهمایی ها
عامدانهتر,عامدانه تر
بودجهبندی,بودجه بندی
هزینهها,هزینه ها
هواپیماها,هواپیما ها
ساخته_شده_اند,ساخته شده اند
هفتتیر,هفت تیر
نشدهای,نشده ای
اطمینانبخش,اطمینان بخش
نمیکردند,نمی کردند
ناممکن,نا ممکن
نداشته_باشند,نداشته باشند
بهترازاینه,بهتر از اینه
هرروز,هر روز
وکشورتان,و کشورتان
میكنی,می كنی
گرفته_باشم,گرفته باشم
قهوهی,قهوه ی
میخواستند,می خواستند
مقیاسها,مقیاس ها
میخواستیم,می خواستیم
خواهم_آورد,خواهم آورد
محبتهای,محبت های
وقتاخیلی,وقتا خیلی
پیامدهای,پیامد های
استوانهدار,استوانه دار
مىدارد,می دارد
میفهمن,می فهمن
نمیخوام,نمی خوام
دیرزمانی,دیر زمانی
ماندهاند,مانده اند
نمیفهمم,نمی فهمم
ناامیدی,نا امیدی
ریزخشونتها,ریزخشونت ها
نمیخوره,نمی خوره
نتیجهای,نتیجه ای
ناامیدکننده,نا امید کننده
نویسندههای,نویسنده های
بادوستاش,با دوستاش
وسکوت,و سکوت
میپذیرفتند,می پذیرفتند
پروانههای,پروانه های
فنآوریهایی,فن آوری هایی
همراهاش,همراهاش
قلمموهاى,قلممو هاى
سرمایهی,سرمایه ی
دانههای,دانه های
میپاشید,می پاشید
بافریاد,با فریاد
چندبار,چند بار
میبود,می بود
بهظاهر,به ظاهر
انگلیسیزبان,انگلیسی زبان
بوداز,بود از
دعاهای,دعا های
نوارهایی,نوار هایی
نورهای,نور های
بارها,بار ها
میایستادم,می ایستادم
نقالهی,نقاله ی
تسمهای,تسمه ای
امااصلا,اما اصلا
وکار,و کار
ازمن,از من
دروازههای,دروازه های
میرفتم,می رفتم
قطعکردن,قطع کردن
غافلگیرکننده,غافلگیر کننده
ميکنه,مي کنه
خودپسندی,خود پسندی
بلاهای,بلا های
روزنامهنگاران,روزنامه نگاران
امامن,امامن
نشده_بود,نشده بود
فوتبالدستی,فوتبال دستی
دارالاماره,دار الاماره
آتشسوزی,آتش سوزی
اتفاقهای,اتفاق های
نشده_باشید,نشده باشید
فکرمیکردم,فکر میکردم
فراگرفته,فرا گرفته
مىشوند,می شوند
شناختهشده,شناخته شده
بردهای,بردهای
تیمهایی,تیم هایی
نمیگذاشتند,نمی گذاشتند
میدادم,می دادم
میگذرن,می گذرن
درنمیاد,در نمیاد
ماچیزی,ما چیزی
میگیم,می گیم
نادرست,نا درست
درصورتیکه,در صورتی که
برابربیشتر,برابر بیش تر
ازخودگذشتگی,از خود گذشتگی
امااصلابه,اما اصلابه
میکشن,می کشن
جاذبهی,جاذبه ی
طاقتفرسا,طاقت فرسا
داده_بودم,داده بودم
علاقمندی,علاقه مندی
هدفهای,هدف های
ناخودآگاه,ناخود آگاه
گفتگوهای,گفتگو های
نمیکشند,نمی کشند
آقاهم,آقا هم
دولتها,دولت ها
دانشگاهها,دانشگاه ها
بهآرامی,به آرامی
آبها,آب ها
پردهدار,پرده دار
خواهید_داشت,خواهید داشت
مهدکودکی,مهد کودکی
موبایلهایشان,موبایل هایشان
میدارند,می دارند
لپتاپهایشان,لپتاپ هایشان
ناجوانمردانه,نا جوانمردانه
مدیرعاملها,مدیرعامل ها
مشتریهایشان,مشتری هایشان
خواهید_سفر,خواهید سفر
بهدستآمده,به دست آمده
بچههای,بچه های
نوشته_بودم,نوشته بودم
نوارها,نوار ها
ناباوری,نا باوری
میامدند,می امدند
شعرهای,شعر های
سنتهای,سنت های
دقیقتری,دقیق تری
مونتهویدئو,مونته ویدئو
خواهد_دانست,خواهد دانست
مارمولكها,مارمولك ها
میيابند,می يابند
نمیخندم,نمی خندم
سیخهای,سیخ های
مشخصترین,مشخص ترین
ناپذیری,نا پذیری
دانستنیهاست,دانستنی هاست
باشكوه,با شكوه
برگردونیش,بر گردونیش
ناقوسهای,ناقوس های
دانشنامهها,دانشنامه ها
خواهد_فضا,خواهد فضا
بحرانها,بحران ها
میفهمید,می فهمید
نمیدهم,نمی دهم
کفشهایش,کفش هایش
پاهایش,پا هایش
میسوزد,می سوزد
آسانگیرانهی,آسان گیرانه ی
نمیخواد,نمی خواد
رفته_بود,رفته بود
باطعنه,با طعنه
خواهی_میکرد,خواهی میکرد
میزارن,می زارن
بازهم,باز هم
میفروختم,می فروختم
نمیتونه,نمی تونه
عرشهی,عرشه ی
مهربانتر,مهربان تر
همتیمیهایشان,هم تیمی هایشان
میکشند,می کشند
ومن,و من
غرغرمیکنم,غرغر میکنم
ميدوني,مي دوني
ميزنم,مي زنم
حضرتعالی,حضرت عالی
دسیسههای,دسیسه های
حرفهایی,حرف هایی
داشته_باشد,داشته باشد
استانداردهای,استاندارد های
گرونترین,گرون ترین
بیعیب,بی عیب
بهجلو,به جلو
همانندیهای,همانندی های
حسابها,حساب ها
ساختمانهای,ساختمان های
میتوانستیم,می توانستیم
نمیدادند,نمی دادند
بینالملل,بین الملل
نامحدوده,نا محدوده
تاریخزده,تاریخ زده
خشکترین,خشک ترین
نقاشىهاى,نقاشى هاى
شمافقط,شما فقط
همهجانبه,همه جانبه
مىباشد,می باشد
تقسیمبندی,تقسیم بندی
نمیرساند,نمی رساند
شدهاست,شده است
همکاریهای,همکاری های
کلبهی,کلبه ی
همپایهساز,همپایه ساز
مخیلهاش,مخیله اش
نمیتوانست,نمی توانست
رفتارهای,رفتار های
نمیشدیم,نمی شدیم
نمیزارین,نمی زارین
امینسالار,امین سالار
ادعاهای,ادعا های
هرکشور,هر کشور
نکرده_است,نکرده است
اقاعلی,اقا علی
خردمحور,خرد محور
نمیبینم,نمی بینم
نمیخوابم,نمی خوابم
موشکهای,موشک های
نوشته_بود,نوشته بود
هرکدام,هر کدام
گرفته_اند,گرفته اند
خواهید_داد,خواهید داد
شركتهاى,شركت هاى
پروندههای,پرونده های
آنقدرها,آنقدر ها
میندازه,می ندازه
فنآوری,فن آوری
حالتهای,حالت های
برنامهریزی,برنامه ریزی
فتحالله,فتح الله
نهها,نه ها
اماجاذبه,اما جاذبه
منوکشت,منو کشت
نمیرفتن,نمی رفتن
فروخته_شد,فروخته شد
خواهند_شد,خواهند شد
فرارسد,فرا رسد
لطیفهای,لطیف های
ژولیدهی,ژولیده ی
زیانهای,زیان های
فروشگاههای,فروشگاه های
امروزکه,امروز که
تابهش,تا بهش
گزارشهای,گزارش های
شانهای,شانه ای
پشتصحنهی,پشت صحنه ی
شبیهساز,شبیه ساز
تکمههای,تکمه های
سیبزمینی,سیب زمینی
کاغذها,کاغذ ها
داده_شد,داده شد
کشانکشان,کشان کشان
دوامتیاز,دو امتیاز
پرجنبوجوشتر,پر جنب و جوش تر
سالمترند,سالم ترند
میتونیم,می تونیم
کوچیکترش,کوچیک ترش
سبدها,سبد ها
دهها,ده ها
خانههای,خانه های
مرطوباند,مرطوب اند
قفلهای,قفل های
روزنامهی,روزنامه ی
پسانداز,پس انداز
میبندم,می بندم
مودبانهتری,مودبانه تری
دخترهاست,دختر هاست
نمیایم,نمی ایم
برجستهترین,برجسته ترین
ذهنها,ذهن ها
قلبهای,قلب های
میذاشتن,می ذاشتن
داربشم,دار بشم
ازجیبش,از جیبش
میتوانست,می توانست
تدریجیتاریخ,تدریجی تاریخ
نمیخواهم,نمی خواهم
ذائقهاش,ذائقه اش
ازجمله,از جمله
ادعاهایی,ادعا هایی
راهنماهایی,راهنما هایی
میخوایی,می خوایی
باقیمت,با قیمت
موبایلهایتان,موبایل هایتان
میفهمین,می فهمین
میاری,می اری
برنامهنویسی,برنامه نویسی
گرفته_شود,گرفته شود
خواهید_شد,خواهید شد
افتاده_بودم,افتاده بودم
جاپارک,جا پارک
خورده_است,خورده است
پیامهای,پیام های
میآورند,می آورند
بیمیلی,بی میلی
شوخیهای,شوخی های
بیمزهی,بی مزه ی
آبگونهی,آبگونه ی
آبگونهای,آبگونه ای
لکههای,لکه های
راهآهنها,راه آهن ها
سرنوشتساز,سرنوشت ساز
میستایم,می ستایم
خواهیم_ساخت,خواهیم ساخت
ورودیه,ورود یه
رسیده_است,رسیده است
دریاچههای,دریاچه های
عزیزترین,عزیز ترین
توهینها,توهین ها
کنایههای,کنایه های
فاقهی,فاقه ی
حفرههای,حفره های
لالهها,لاله ها
دستهای,دست های
خواهم_خورد,خواهم خورد
امرارمعاش,امرار معاش
بگیرمامان,بگیر مامان
مینامند,می نامند
خردمند,خرد مند
مافکرمیکنیم,ما فکر میکنیم
باشعوری,با شعوری
شبکهای,شبکه ای
بحرانهای,بحران های
سیارههای,سیاره های
گزارشهایی,گزارش هایی
مقایسهای,مقایسه ای
خاطرخواه,خاطر خواه
پرسشهای,پرسش های
بازجویانهی,بازجویانه ی
نمیدانم,نمی دانم
وزردچوبه,و زردچوبه
پوششهای,پوشش های
بیمهای,بیمه ای
غیرسیگاری,غیر سیگاری
گفته_باشم,گفته باشم
قفسهها,قفسه ها
وال-مارت,والمارت
صلحطلبانهترین,صلح طلبانه ترین
نوشتهایم,نوشته ایم
بیاراده,بی اراده
سایهی,سایه ی
هرزهدرایی,هرزه درایی
شایعهی,شایعه ی
خیابانهای,خیابان های
دیده_شوند,دیده شوند
ماشینهاى,ماشین هاى
شنیده_بودم,شنیده بودم
جانبهی,جانبه ی
طولانیتر,طولانی تر
ایرانیها,ایرانی ها
توانمندیمان,توان مندی مان
نمیکرده,نمی کرده
بلندپروازانه,بلند پروازانه
رفتهاست,رفته است
خواهی_پذیرفته,خواهی پذیرفته
بهراحتی,به راحتی
کردههای,کرده های
جلومن,جلو من
خواهی_با,خواهی با
شلوارها,شلوار ها
علاقمند,علاقه مند
میاوردم,می اوردم
حاضرنیست,حاضر نیست
بدیهاشو,بدی هاشو
نیویورکتایمز,نیویورک تایمز
سهقسمتی,سه قسمتی
خواهی_تلویزیون,خواهی تلویزیون
خواهم_بگویم,خواهم بگویم
خلاقتر,خلاق تر
مولدتر,مولد تر
سودمندتر,سود مند تر
آوازهای,آواز های
گربهی,گربه ی
غیرمادی,غیر مادی
غیرعادی,غیر عادی
مجسمههای,مجسمه های
تابی,تا بی
بدجنس,بد جنس
هاشنیدم,ها شنیدم
بلیطتان,بلیط تان
بوده_ای,بوده ای
دندانها,دندان ها
خواستههای,خواسته های
بنیانگذارِ,بنیان گذارِ
سالهابود,سال ها بود
نمیشدو,نمی شدو
سالهاست,سال هاست
چالشهای,چالش های
عمدهای,عمد های
خوراکهای,خوراک های
همیاریهای,همیاری های
شهرداریها,شهرداری ها
دهیاریهای,دهیاری های
بلیطهای,بلیط های
ایالاتمتحده,ایالات متحده
انگشتشماری,انگشت شماری
خوانده_ای,خوانده ای
تهمتهای,تهمت های
بیانصافی,بی انصافی
ورقهی,ورقه ی
وجههی,وجهه ی
آمده_ام,آمده ام
خواهیم_سفارش,خواهیم سفارش
خواهی_کرد,خواهی کرد
مىکند,مي کند
نمیتونید,نمی تونید
زمینهای,زمین های
قلهای,قله ای
آورده_بودم,آورده بودم
انگیزهای,انگیزه ای
بعدها,بعد ها
فراخوانیها,فراخوانی ها
رسانهای,رسانه ای
دوربینهای,دوربین های
برگرفته,بر گرفته
خواهیم_خورد,خواهیم خورد
برگردانید,بر گردانید
استانداردها,استاندارد ها
گندهتر,گنده تر
هروقت,هر وقت
باهمیم,با همیم
نبودهام,نبوده ام
کرده_بودم,کرده بودم
میخواهیم,می خواهیم
رویاهای,رویا های
خواهی_گاهی,خواهی گاهی
برگردانم,بر گردانم
ادارهی,اداره ی
تودهای,توده ای
پایانههای,پایانه های
دندانپزشک,دندان پزشک
میگویید,می گویید
فیلمهایی,فیلم هایی
گوشخراش,گوش خراش
هدایتپذیر,هدایت پذیر
تامشکلمون,تا مشکلمون
نوشته_ای,نوشته ای
برگها,برگها
بسته_بودند,بسته بودند
خورهی,خوره ی
مینوانید,می نوانید
میرقصی,می رقصی
گلهایند,گل هایند
زمينهسازى,زمينه سازى
پروازهایی,پرواز هایی
خواهم_هر,خواهم هر
میاوری,می اوری
صادرکننده,صادر کننده
ميريد,مي ريد
خطکشم,خط کشم
میخواهتم,می خواهتم
چهارتا,چهار تا
ایناکیلویی,اینا کیلویی
باهوشتر,باهوش تر
خردمندتر,خرد مند تر
میشناسی,می شناسی
خواهی_سال,خواهی سال
نیکیها,نیکی ها
دعاکنید,دعا کنید
ایندفعه,این دفعه
گیاهخوار,گیاه خوار
درنیاوردی,در نیاوردی
گفته_است,گفته است
مینوشتم,می نوشتم
بَهرهمند,بَهره مند
میتونست,می تونست
خیالهای,خیال های
مادرانهای,مادرانه ای
دیوانهها,دیوانه ها
میفهمه,می فهمه
میکرده,می کرده
بسته_است,بسته است
سرمایهگذارها,سرمایه گذار ها
همکنون,هم اکنون
سیاستهای,سیاست های
جاخالی,جا خالی
میدادی,می دادی
خانه-اشتراکی,خانه اشتراکی
اولویتبندی,اولویت بندی
تحریمها,تحریم ها
حادثهای,حادث های
هرآنچه,هر آنچه
نمیتوانید,نمی توانید
بروزرسانی,به روز رسانی
فرستاده_است,فرستاده است
انرژیهای,انرژی های
میپوشاند,می پوشاند
میگیری,می گیری
زودهنگام,زود هنگام
آهستهتر,آهسته تر
باتربیت,با تربیت
پارهآجر,پاره آجر
سینوسهای,سینوس های
بردهداری,برده داری
اندازهی,اندازه ی
بیحرکت,بی حرکت
توریستها,توریست ها
خواهی_دید,خواهی دید
علیالحساب,علی الحساب
اماخب,اما خب
گسترده_است,گسترده است
یادداشتهای,یادداشت های
میبیند,می بیند
ترفندهایی,ترفند هایی
حسابهای,حساب های
میشمردم,می شمردم
خوردهباشد,خورده باشد
مىکنند,مى کنند
بههنگام,به هنگام
گازها,گاز ها
پیروزیهای,پیروزی های
مرده_بودم,مرده بودم
بچههایش,بچه هایش
گمشدهاش,گمشده اش
میبردند,می بردند
جاهطلبی,جاه طلبی
شیوهای,شیوه ای
پیچیده_است,پیچیده است
توجهازچیدن,تو جهاز چیدن
گرفتهباشیم,گرفته باشیم
خواهم_گرفت,خواهم گرفت
زشتها,زشت ها
جنبههای,جنبه های
قاشقها,قاشق ها
بستههای,بسته های
موردنیاز,مورد نیاز
گواینکه,گواینکه
چارهی,چاره ی
زمانیکه,زمانی که
آسیبپذیر,آسیب پذیر
خواهم_حساب,خواهم حساب
زانوها,زانو ها
مشترکالمنافع,مشترک المنافع
اشکها,اشک ها
میکارند,می کارند
نخواهم_رفت,نخواهم رفت
شکافدار,شکاف دار
فاصلهی,فاصله ی
بهطور,به طور
مهماننوازند,مهمان نوازند
خواهد_خدای,خواهد خدای
میبردن,می بردن
خواهید_شرط,خواهید شرط
کالاهای,کالا های
خواهیم_دید,خواهیم دید
روایتها,روایت ها
ایدهآلم,ایده آلم
ویژهی,ویژه ی
پنجشنبههایی,پنجشنبه هایی
کامیابیهای,کامیابی های
وظیفهی,وظیفه ی
خوشحالییییی,خوشحالی
سیگنالهای,سیگنال های
مىتوان,می توان
سايهروشنهاى,سايه روشن هاى
ورقها,ورق ها
پیچیده_شده_است,پیچیده شده است
دادهاید,داده اید
مینالید,می نالید
بیآزار,بیازار
کوچیکتر,کوچیک تر
مربیها,مربی ها
غیرمتمرکز,غیر متمرکز
نگاهداشتند,نگاه داشتند
پیبردن,پی بردن
برمیدارم,بر میدارم
میبینم,می بینم
نمیشوید,نمی شوید
همدلیشون,هم دلیشون
کنتورهای,کنتور های
روزهایی,روز هایی
پستانهای,پستان های
هیچچی,هیچی
ضربههای,ضربه های
نخواهد_بود,نخواهد بود
مردهی,مرده ی
ارادتمند,ارادت مند
میبینمتون,می بینمتون
نیکیهای,نیکی های
میامد,می امد
چیزهاازشون,چیز ها ازشون
غریبهای,غریبهای
درهمان,در همان
دادهاست,داده است
آزمودهاید,آزموده اید
زیستهاید,زیسته اید
میذارین,می ذارین
میگیرین,می گیرین
بعضیها,بعضی ها
مشابهی,مشابه ی
راهحلهایی,راه حل هایی
برههای,برهه ای
همهما,همه ما
میآیند,می آیند
مدرسههای,مدرسه های
متصلاند,متصل اند
رفتارها,رفتار ها
کمارزشی,کم ارزشی
طلاهامو,طلا هامو
کادوهات,کادو هات
دزدیده_باشی,دزدیده باشی
ظرافتهایشان,ظرافت هایشان
افتادهاند,افتاده اند
تصفیهی,تصفیه ی
زاویهی,زاویه ی
پیامهایی,پیام هایی
خستهکننده,خسته کننده
خواهد_آورد,خواهد آورد
سدها,سد ها
بیتوجهی,بی توجهی
چکمههای,چکمه های
خواهد_یافت,خواهد یافت
میخوامت,می خوامت
ارزشمندی,ارزش مندی
گذرانده_باشید,گذرانده باشید
وسيلهاى,وسيله اى
نوکتيز,نوک تيز
سوراخهاى,سوراخ هاى
زندهای,زنده ای
شاخههای,شاخه های
پاسبانها,پاسبان ها
سرودهای,سرود های
عابرپیاده,عابر پیاده
خواهم_که,خواهم که
ناخنهایم,ناخن هایم
قحطیها,قحطی ها
زلزلهها,زلزله ها
جایهای,جای های
کمکرسانی,کمک رسانی
نخندیده_بودی,نخندیده بودی
كلاغها,كلاغ ها
لاشخورها,لاشخور ها
میخورند,می خورند
امپراتوری,امپراطوری
نمیدانی,نمی دانی
دادهای,داده ای
بیصبرانه,بی صبرانه
ندیدهاید,ندیده اید
پوشانده_بود,پوشانده بود
واژهای,واژهای
خارقالعاده,خارق العاده
وخوابگاه,و خوابگاه
آلودهاند,آلوده اند
برگههای,برگه های
میپیچد,می پیچد
تملقآمیزش,تملق آمیزش
میذارن,می ذارن
واکنشهای,واکنش های
آدمهارو,آدم هارو
میچینند,می چینند
دردمندی,درد مندی
میپوشه,می پوشه
چشمانداز,چشم انداز
پسماندهی,پسمانده ی
اندیشهها,اندیشه ها
خواسته_بود,خواسته بود
درندهاند,درنده اند
خستهمون,خسته مون
نبودهاند,نبوده اند
تئوریهای,تئوری های
دیوارهای,دیوار های
بیخانمانها,بی خانمان ها
طوفانزدگان,طوفان زدگان
شده_ام,شده ام
بیشوخی,بی شوخی
استانها,استان ها
ودوستان,و دوستان
دنبالهدار,دنباله دار
مهمونها,مهمون ها
نميخاي,نمي خاي
اينروزا,اين روزا
هیچکدام,هیچ کدام
کشیده_شده_باشد,کشیده شده باشد
بوتهی,بوته ی
بیابانهای,بیابان های
یخزدهی,یخزده ی
ستایهی,ستایه ی
کوششهایی,کوشش هایی
راهبههایی,راهبه هایی
مىكند,می كند
بىنياز,بي نياز
دیده_نشوند,دیده نشوند
امریکااینقدر,امریکا اینقدر
میدونین,می دونین
سایتهای,سایت های
الگوریتمها,الگوریتم ها
میپرید,می پرید
فینها,فین ها
لاپها,لاپ ها
قرارملاقاتمان,قرار ملاقاتمان
خواهم_ده,خواهم ده
خواهم_چند,خواهم چند
پژوهشهای,پژوهش های
میلرزی,می لرزی
هاتو,هاتو
ماجراهای,ماجرا های
اشکآور,اشک آور
گونهای,گونه ای
فلاخنها,فلاخن ها
پیکانهای,پیکان های
گذاشتهاید,گذاشته اید
نبردهای,نبرد های
پلکهایش,پلک هایش
حیلهگری,حیله گری
شبیهسازی,شبیه سازی
خوانندهی,خواننده ی
دیدهاند,دیده اند
نقشهی,نقشه ی
نخواهد_گرفت,نخواهد گرفت
مصاحبهش,مصاحبه ش
تردیدها,تردید ها
ژاپنیها,ژاپنی ها
ساعتهای,ساعت های
آزادهای,آزاد های
نمیرود,نمی رود
انداخته_است,انداخته است
واماندهای,وامانده ای
فارغالتحصیلی,فارغ التحصیلی
مدادها,مداد ها
دربیاورند,در بیاورند
هنرهای,هنر های
نقاشیی,نقاشی
امینصدرا,امین صدرا
بَدرالزمان,بَدر الزمان
عبدالعزیز,عبد العزیز
آریابد,آریابد
کوهها,کوه ها
لهجهی,لهجه ی
نمیتوانی,نمی توانی
بندهخدا,بنده خدا
نمیخورند,نمی خورند
سرمایههای,سرمایه های
نزدیکتر,نزدیک تر
آرزوهای,آرزو های
آیندهی,آینده ی
میسوخت,می سوخت
مدارهای,مدار های
رویهی,رویه ی
سلطهی,سلطه ی
صبحها,صبح ها
آدمبزرگی,آدم بزرگی
